id,name,artist_name,spotify_link,preview_link
2,I Can't Be Satisfied,Muddy Waters,https://open.spotify.com/track/7wzQBE5lXavbf8YPqQ4jcl,
3,Wonderful Tonight,Eric Clapton,https://open.spotify.com/track/3GBGdtSuPKI81bzrniHuF3,
4,It's My Own Fault Baby,B.B. King,https://open.spotify.com/track/2dLuGCYKlQQakMMfUOwA53,
5,She's Nineteen Years Old,Buddy Guy,https://open.spotify.com/track/7ms0srWPARrbHbEEXpfeqr,
6,Who's Been Talking?,Howlin' Wolf,https://open.spotify.com/track/41HyRCsQiXjEQa42vmJLqv,
7,Hell Hound On My Trail,Robert Johnson,https://open.spotify.com/track/5xjG7nV5ncQAHkuifsz4v3,https://p.scdn.co/mp3-preview/18eac22fca0a14f47e6a013e9528292058c7b0cd?cid=71c2cbbd78344649836922adbd59e972
8,I'm Yours and I'm Hers,Johnny Winter,https://open.spotify.com/track/3ZL06rA9oe8JEKQQ3V6VCE,https://p.scdn.co/mp3-preview/1eb8f0ae38c013a4da0e07fb9e3a0d411e931cab?cid=71c2cbbd78344649836922adbd59e972
9,"One Bourbon, One Scotch, One Beer",John Lee Hooker,https://open.spotify.com/track/0W7dZ3kbTOfQP5ZWZZqj9N,
10,You Know I Love You,B.B. King,https://open.spotify.com/track/7kWnlMFFXJLN1TOvYT8MoV,
11,Need Your Love Tonight,Fleetwood Mac,https://open.spotify.com/track/3yTVXzJs0ANB7R2rUi9jcb,https://p.scdn.co/mp3-preview/dd325acd2c693b1ddaaa12c94764685dd31d8343?cid=71c2cbbd78344649836922adbd59e972
